EPI	Hypoblast	Trophectoderm	Polar TE	Mural TE 	Luminal_Epithelium	Glandular_Epithelium	EMT
POU5F1	SOX17	GATA3	CCR7	CDX2	PTGS1	C2CD4A	CDH1
SOX2	GATA6	DAB2	NR2F2	HAND1	PAX2	SLC18A2	CDH2
NANOG	GATA4	GATA2	SP6	ZWINT	IL6	PAEP	VIM
TDGF1	FOXA2	SFN	OVOL1	PRDX2	VTCN1	CXCL14	FN1
PRDM14	PDGFRA	ELF3	GREM2	FABP3	SLC26A7	SPP1	ACTA2
DPPA5	DAB2	CGA	GCM1	S100A6	MSLN	GPX3	ZEB1
GDF3	TBX3	ASCL2	SDC1	SLC5A6	LGR5	DPP4	ZEB2
SUSD2	FGFR2	TFAP2A	ERVFRD-1		PGR		TWIST1
ARGFX	LAMA4	TROP2	CGA		ESR1		TWIST2
KLF4	HNF1B	KRT18	PGF		CPM		S100A4
KLF17	ADM						DSG3
	OTX2						EPCAM
	LBH						CLDN1
	LAMA1						CLDN3
	RSPO3						CLDN4
	APOA1						CLDN7
							OCLN
							DSG3
							DSG2
							TJP1
							KRT18
							KRT19
							MMP2
							MMP9
							SNAI1
							HLA-G
